$ hermes -p akii skills list
exit_code=0

                                Installed Skills                                
┏━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━━┳━━━━━━━━━┓
┃ Name                 ┃ Category             ┃ Source   ┃ Trust     ┃ Status  ┃
┡━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━━━━━━╇━━━━━━━━━┩
│ hermes-desktop-plug… │                      │ local    │ local     │ enabled │
│ seedance-prompt-en   │                      │ url      │ community │ enabled │
│ yuanbao              │                      │ official │ official  │ enabled │
│ apple-notes          │ apple                │ builtin  │ builtin   │ enabled │
│ apple-reminders      │ apple                │ builtin  │ builtin   │ enabled │
│ findmy               │ apple                │ builtin  │ builtin   │ enabled │
│ imessage             │ apple                │ builtin  │ builtin   │ enabled │
│ claude-code          │ autonomous-ai-agents │ builtin  │ builtin   │ enabled │
│ codex                │ autonomous-ai-agents │ builtin  │ builtin   │ enabled │
│ computer-use         │ autonomous-ai-agents │ builtin  │ builtin   │ enabled │
│ hermes-agent         │ autonomous-ai-agents │ builtin  │ builtin   │ enabled │
│ hermes-messaging-ga… │ autonomous-ai-agents │ local    │ local     │ enabled │
│ hermes-provider-tro… │ autonomous-ai-agents │ local    │ local     │ enabled │
│ merge-reconciler     │ autonomous-ai-agents │ builtin  │ builtin   │ enabled │
│ opencode             │ autonomous-ai-agents │ builtin  │ builtin   │ enabled │
│ architecture-diagram │ creative             │ builtin  │ builtin   │ enabled │
│ ascii-art            │ creative             │ builtin  │ builtin   │ enabled │
│ ascii-video          │ creative             │ builtin  │ builtin   │ enabled │
│ baoyu-infographic    │ creative             │ builtin  │ builtin   │ enabled │
│ claude-design        │ creative             │ builtin  │ builtin   │ enabled │
│ comfyui              │ creative             │ builtin  │ builtin   │ enabled │
│ design-md            │ creative             │ builtin  │ builtin   │ enabled │
│ excalidraw           │ creative             │ builtin  │ builtin   │ enabled │
│ higgsfield-cli-ops   │ creative             │ local    │ local     │ enabled │
│ humanizer            │ creative             │ builtin  │ builtin   │ enabled │
│ manim-video          │ creative             │ builtin  │ builtin   │ enabled │
│ p5js                 │ creative             │ builtin  │ builtin   │ enabled │
│ popular-web-designs  │ creative             │ builtin  │ builtin   │ enabled │
│ pretext              │ creative             │ builtin  │ builtin   │ enabled │
│ sketch               │ creative             │ builtin  │ builtin   │ enabled │
│ songwriting-and-ai-… │ creative             │ builtin  │ builtin   │ enabled │
│ touchdesigner-mcp    │ creative             │ builtin  │ builtin   │ enabled │
│ jupyter-live-kernel  │ data-science         │ local    │ local     │ enabled │
│ email-auto-drafting  │ email                │ local    │ local     │ enabled │
│ email-inbox-triage   │ email                │ builtin  │ builtin   │ enabled │
│ himalaya             │ email                │ builtin  │ builtin   │ enabled │
│ codebase-inspection  │ github               │ builtin  │ builtin   │ enabled │
│ github-auth          │ github               │ builtin  │ builtin   │ enabled │
│ github-code-review   │ github               │ builtin  │ builtin   │ enabled │
│ github-issue-to-pr   │ github               │ builtin  │ builtin   │ enabled │
│ github-issues        │ github               │ builtin  │ builtin   │ enabled │
│ github-pr-workflow   │ github               │ builtin  │ builtin   │ enabled │
│ github-repo-managem… │ github               │ builtin  │ builtin   │ enabled │
│ gif-search           │ media                │ builtin  │ builtin   │ enabled │
│ heartmula            │ media                │ local    │ local     │ enabled │
│ songsee              │ media                │ builtin  │ builtin   │ enabled │
│ youtube-content      │ media                │ builtin  │ builtin   │ enabled │
│ audiocraft-audio-ge… │ mlops                │ local    │ local     │ enabled │
│ evaluating-llms-har… │ mlops                │ builtin  │ builtin   │ enabled │
│ huggingface-hub      │ mlops                │ builtin  │ builtin   │ enabled │
│ llama-cpp            │ mlops                │ builtin  │ builtin   │ enabled │
│ segment-anything-mo… │ mlops                │ local    │ local     │ enabled │
│ serving-llms-vllm    │ mlops                │ builtin  │ builtin   │ enabled │
│ weights-and-biases   │ mlops                │ builtin  │ builtin   │ enabled │
│ obsidian             │ note-taking          │ builtin  │ builtin   │ enabled │
│ airtable             │ productivity         │ builtin  │ builtin   │ enabled │
│ box                  │ productivity         │ builtin  │ builtin   │ enabled │
│ document-to-action-… │ productivity         │ builtin  │ builtin   │ enabled │
│ docx                 │ productivity         │ builtin  │ builtin   │ enabled │
│ gmail-workflow-auto… │ productivity         │ local    │ local     │ enabled │
│ google-workspace     │ productivity         │ builtin  │ builtin   │ enabled │
│ maps                 │ productivity         │ builtin  │ builtin   │ enabled │
│ meeting-action-items │ productivity         │ builtin  │ builtin   │ enabled │
│ nano-pdf             │ productivity         │ builtin  │ builtin   │ enabled │
│ notion               │ productivity         │ builtin  │ builtin   │ enabled │
│ ocr-and-documents    │ productivity         │ builtin  │ builtin   │ enabled │
│ pdf                  │ productivity         │ builtin  │ builtin   │ enabled │
│ petdex               │ productivity         │ local    │ local     │ enabled │
│ powerpoint           │ productivity         │ builtin  │ builtin   │ enabled │
│ product-price-monit… │ productivity         │ builtin  │ builtin   │ enabled │
│ session-librarian    │ productivity         │ builtin  │ builtin   │ enabled │
│ teams-meeting-pipel… │ productivity         │ builtin  │ builtin   │ enabled │
│ weekly-review-plann… │ productivity         │ builtin  │ builtin   │ enabled │
│ xlsx                 │ productivity         │ builtin  │ builtin   │ enabled │
│ arxiv                │ research             │ builtin  │ builtin   │ enabled │
│ blocked-page-recove… │ research             │ builtin  │ builtin   │ enabled │
│ blogwatcher          │ research             │ builtin  │ builtin   │ enabled │
│ competitor-news-mon… │ research             │ builtin  │ builtin   │ enabled │
│ grounded-citations   │ research             │ builtin  │ builtin   │ enabled │
│ llm-wiki             │ research             │ builtin  │ builtin   │ enabled │
│ polymarket           │ research             │ local    │ local     │ enabled │
│ research-paper-writ… │ research             │ builtin  │ builtin   │ enabled │
│ openhue              │ smart-home           │ builtin  │ builtin   │ enabled │
│ xurl                 │ social-media         │ builtin  │ builtin   │ enabled │
│ dogfood              │ software-development │ builtin  │ builtin   │ enabled │
│ hermes-agent-skill-… │ software-development │ builtin  │ builtin   │ enabled │
│ inspecting-hermes-d… │ software-development │ builtin  │ builtin   │ enabled │
│ internet-access-too… │ software-development │ local    │ local     │ enabled │
│ node-inspect-debugg… │ software-development │ builtin  │ builtin   │ enabled │
│ plan                 │ software-development │ builtin  │ builtin   │ enabled │
│ playmcp-mcp-gateway  │ software-development │ local    │ local     │ enabled │
│ python-debugpy       │ software-development │ builtin  │ builtin   │ enabled │
│ requesting-code-rev… │ software-development │ builtin  │ builtin   │ enabled │
│ simplify-code        │ software-development │ builtin  │ builtin   │ enabled │
│ spike                │ software-development │ builtin  │ builtin   │ enabled │
│ systematic-debugging │ software-development │ builtin  │ builtin   │ enabled │
│ test-driven-develop… │ software-development │ builtin  │ builtin   │ enabled │
└──────────────────────┴──────────────────────┴──────────┴───────────┴─────────┘
2 hub-installed, 81 builtin, 14 local — 97 enabled, 0 disabled

