$ /Users/insideden/.hermes/hermes-agent/venv/bin/hermes -p aroundit skills list
exit_code=0

                                Installed Skills                                
┏━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┓
┃ Name                 ┃ Category             ┃ Source   ┃ Trust    ┃ Status   ┃
┡━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━━━━━┩
│ apple-notes          │ apple                │ builtin  │ builtin  │ disabled │
│ apple-reminders      │ apple                │ builtin  │ builtin  │ disabled │
│ findmy               │ apple                │ builtin  │ builtin  │ disabled │
│ imessage             │ apple                │ builtin  │ builtin  │ enabled  │
│ claude-code          │ autonomous-ai-agents │ builtin  │ builtin  │ disabled │
│ codex                │ autonomous-ai-agents │ builtin  │ builtin  │ enabled  │
│ computer-use         │ autonomous-ai-agents │ builtin  │ builtin  │ enabled  │
│ hermes-agent         │ autonomous-ai-agents │ builtin  │ builtin  │ enabled  │
│ merge-reconciler     │ autonomous-ai-agents │ local    │ local    │ disabled │
│ messaging-gateway-t… │ autonomous-ai-agents │ local    │ local    │ enabled  │
│ opencode             │ autonomous-ai-agents │ builtin  │ builtin  │ disabled │
│ architecture-diagram │ creative             │ builtin  │ builtin  │ disabled │
│ ascii-art            │ creative             │ official │ official │ disabled │
│ ascii-video          │ creative             │ builtin  │ builtin  │ disabled │
│ baoyu-infographic    │ creative             │ builtin  │ builtin  │ disabled │
│ claude-design        │ creative             │ builtin  │ builtin  │ disabled │
│ comfyui              │ creative             │ official │ official │ disabled │
│ design-md            │ creative             │ builtin  │ builtin  │ disabled │
│ excalidraw           │ creative             │ official │ official │ disabled │
│ humanizer            │ creative             │ builtin  │ builtin  │ disabled │
│ manim-video          │ creative             │ builtin  │ builtin  │ disabled │
│ p5js                 │ creative             │ builtin  │ builtin  │ disabled │
│ popular-web-designs  │ creative             │ builtin  │ builtin  │ disabled │
│ pretext              │ creative             │ official │ official │ disabled │
│ sketch               │ creative             │ official │ official │ disabled │
│ songwriting-and-ai-… │ creative             │ builtin  │ builtin  │ disabled │
│ touchdesigner-mcp    │ creative             │ official │ official │ disabled │
│ email-auto-drafting  │ email                │ local    │ local    │ enabled  │
│ email-inbox-triage   │ email                │ builtin  │ builtin  │ enabled  │
│ himalaya             │ email                │ builtin  │ builtin  │ enabled  │
│ github-auth          │ github               │ local    │ local    │ enabled  │
│ github-code-review   │ github               │ local    │ local    │ disabled │
│ github-issue-to-pr   │ github               │ local    │ local    │ disabled │
│ github-issues        │ github               │ local    │ local    │ disabled │
│ github-pr-workflow   │ github               │ local    │ local    │ disabled │
│ github-repo-managem… │ github               │ local    │ local    │ disabled │
│ native-chat-operati… │ integrations         │ local    │ local    │ enabled  │
│ gif-search           │ media                │ builtin  │ builtin  │ disabled │
│ songsee              │ media                │ builtin  │ builtin  │ disabled │
│ youtube-content      │ media                │ builtin  │ builtin  │ disabled │
│ evaluating-llms-har… │ mlops                │ official │ official │ disabled │
│ huggingface-hub      │ mlops                │ official │ official │ disabled │
