$ /Users/insideden/.hermes/hermes-agent/venv/bin/hermes -p den skills list
exit_code=0

                                Installed Skills                                
┏━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━┳━━━━━━━━━━┓
┃ Name                   ┃ Category             ┃ Source  ┃ Trust   ┃ Status   ┃
┡━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━╇━━━━━━━━━━┩
│ apple-notes            │ apple                │ builtin │ builtin │ enabled  │
│ apple-reminders        │ apple                │ builtin │ builtin │ enabled  │
│ findmy                 │ apple                │ builtin │ builtin │ enabled  │
│ imessage               │ apple                │ builtin │ builtin │ enabled  │
│ claude-code            │ autonomous-ai-agents │ builtin │ builtin │ disabled │
│ codex                  │ autonomous-ai-agents │ builtin │ builtin │ enabled  │
│ computer-use           │ autonomous-ai-agents │ builtin │ builtin │ enabled  │
│ event-driven-intake-a… │ autonomous-ai-agents │ local   │ local   │ enabled  │
│ hermes-agent           │ autonomous-ai-agents │ builtin │ builtin │ enabled  │
│ hermes-messaging-gate… │ autonomous-ai-agents │ local   │ local   │ enabled  │
│ hermes-remote-access-… │ autonomous-ai-agents │ local   │ local   │ enabled  │
│ hermes-scheduled-job-… │ autonomous-ai-agents │ local   │ local   │ enabled  │
│ hermes-state-backup    │ autonomous-ai-agents │ local   │ local   │ enabled  │
│ hermes-tool-backend-o… │ autonomous-ai-agents │ local   │ local   │ enabled  │
│ merge-reconciler       │ autonomous-ai-agents │ builtin │ builtin │ enabled  │
│ opencode               │ autonomous-ai-agents │ builtin │ builtin │ disabled │
│ architecture-diagram   │ creative             │ builtin │ builtin │ disabled │
│ ascii-art              │ creative             │ builtin │ builtin │ disabled │
│ ascii-video            │ creative             │ builtin │ builtin │ disabled │
│ baoyu-infographic      │ creative             │ builtin │ builtin │ enabled  │
│ claude-design          │ creative             │ builtin │ builtin │ enabled  │
│ comfyui                │ creative             │ builtin │ builtin │ disabled │
│ design-md              │ creative             │ builtin │ builtin │ disabled │
│ excalidraw             │ creative             │ builtin │ builtin │ disabled │
│ humanizer              │ creative             │ builtin │ builtin │ enabled  │
│ manim-video            │ creative             │ builtin │ builtin │ disabled │
│ p5js                   │ creative             │ builtin │ builtin │ disabled │
│ popular-web-designs    │ creative             │ builtin │ builtin │ enabled  │
│ pretext                │ creative             │ builtin │ builtin │ disabled │
│ sketch                 │ creative             │ builtin │ builtin │ disabled │
│ songwriting-and-ai-mu… │ creative             │ builtin │ builtin │ disabled │
│ touchdesigner-mcp      │ creative             │ builtin │ builtin │ disabled │
│ sdlc-review            │ devops               │ builtin │ builtin │ enabled  │
│ email-inbox-triage     │ email                │ builtin │ builtin │ enabled  │
│ himalaya               │ email                │ builtin │ builtin │ disabled │
│ codebase-inspection    │ github               │ builtin │ builtin │ disabled │
│ github-auth            │ github               │ builtin │ builtin │ enabled  │
│ github-code-review     │ github               │ builtin │ builtin │ disabled │
│ github-issue-to-pr     │ github               │ builtin │ builtin │ enabled  │
│ github-issues          │ github               │ builtin │ builtin │ disabled │
│ github-pr-workflow     │ github               │ builtin │ builtin │ disabled │
│ github-repo-management │ github               │ builtin │ builtin │ enabled  │
│ den-subtitle-producti… │ media                │ local   │ local   │ enabled  │
│ gif-search             │ media                │ builtin │ builtin │ disabled │
│ multicam-rough-cut-ed… │ media                │ local   │ local   │ enabled  │
│ songsee                │ media                │ builtin │ builtin │ disabled │
│ youtube-content        │ media                │ builtin │ builtin │ enabled  │
│ youtube-packaging-str… │ media                │ local   │ local   │ enabled  │
│ evaluating-llms-harne… │ mlops                │ builtin │ builtin │ disabled │
│ huggingface-hub        │ mlops                │ builtin │ builtin │ disabled │
│ llama-cpp              │ mlops                │ builtin │ builtin │ disabled │
│ serving-llms-vllm      │ mlops                │ builtin │ builtin │ disabled │
