$ /Users/insideden/.hermes/hermes-agent/venv/bin/hermes skills list
exit_code=0

                                Installed Skills                                
┏━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━┓
┃ Name             ┃ Category         ┃ Source   ┃ Trust    ┃ Status           ┃
┡━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━┩
│ aside-browser-o… │                  │ local    │ local    │ enabled          │
│ apple-notes      │ apple            │ builtin  │ builtin  │ enabled          │
│ apple-reminders  │ apple            │ builtin  │ builtin  │ enabled          │
│ findmy           │ apple            │ builtin  │ builtin  │ enabled          │
│ imessage         │ apple            │ builtin  │ builtin  │ enabled          │
│ claude-code      │ autonomous-ai-a… │ builtin  │ builtin  │ disabled         │
│ codex            │ autonomous-ai-a… │ builtin  │ builtin  │ enabled          │
│ computer-use     │ autonomous-ai-a… │ builtin  │ builtin  │ enabled          │
│ event-driven-in… │ autonomous-ai-a… │ local    │ local    │ enabled          │
│ hermes-agent     │ autonomous-ai-a… │ builtin  │ builtin  │ enabled          │
│ hermes-messagin… │ autonomous-ai-a… │ local    │ local    │ enabled          │
│ hermes-remote-a… │ autonomous-ai-a… │ local    │ local    │ enabled          │
│ hermes-schedule… │ autonomous-ai-a… │ local    │ local    │ enabled          │
│ hermes-state-ba… │ autonomous-ai-a… │ local    │ local    │ enabled          │
│ hermes-tool-bac… │ autonomous-ai-a… │ local    │ local    │ enabled          │
│ merge-reconciler │ autonomous-ai-a… │ local    │ local    │ enabled          │
│ opencode         │ autonomous-ai-a… │ builtin  │ builtin  │ disabled         │
│ architecture-di… │ creative         │ builtin  │ builtin  │ disabled         │
│ ascii-art        │ creative         │ official │ official │ disabled         │
│ ascii-video      │ creative         │ builtin  │ builtin  │ disabled         │
│ baoyu-infograph… │ creative         │ builtin  │ builtin  │ enabled          │
│ claude-design    │ creative         │ builtin  │ builtin  │ enabled          │
│ comfyui          │ creative         │ official │ official │ disabled         │
│ design-md        │ creative         │ builtin  │ builtin  │ disabled         │
│ excalidraw       │ creative         │ official │ official │ disabled         │
│ humanizer        │ creative         │ builtin  │ builtin  │ enabled          │
│ manim-video      │ creative         │ builtin  │ builtin  │ disabled         │
│ p5js             │ creative         │ builtin  │ builtin  │ disabled         │
│ popular-web-des… │ creative         │ builtin  │ builtin  │ enabled          │
│ pretext          │ creative         │ official │ official │ disabled         │
│ sketch           │ creative         │ official │ official │ disabled         │
│ songwriting-and… │ creative         │ builtin  │ builtin  │ disabled         │
│ touchdesigner-m… │ creative         │ official │ official │ disabled         │
│ sdlc-review      │ devops           │ builtin  │ builtin  │ enabled          │
│ email-inbox-tri… │ email            │ builtin  │ builtin  │ enabled          │
│ himalaya         │ email            │ builtin  │ builtin  │ disabled         │
│ github-auth      │ github           │ local    │ local    │ enabled          │
│ github-code-rev… │ github           │ local    │ local    │ disabled         │
│ github-issue-to… │ github           │ local    │ local    │ enabled          │
│ github-issues    │ github           │ local    │ local    │ disabled         │
│ github-pr-workf… │ github           │ local    │ local    │ disabled         │
│ github-repo-man… │ github           │ local    │ local    │ enabled          │
│ omh-apps         │ guide            │ local    │ local    │ enabled          │
│ omh-browser      │ guide            │ local    │ local    │ enabled          │
│ omh-content-ope… │ guide            │ local    │ local    │ enabled          │
│ omh-data-analys… │ guide            │ local    │ local    │ enabled          │
│ omh-external-co… │ guide            │ local    │ local    │ enabled          │
│ omh-files        │ guide            │ local    │ local    │ enabled          │
│ omh-gateway-int… │ guide            │ local    │ local    │ enabled          │
│ omh-jev-ask      │ guide            │ local    │ local    │ enabled          │
│ omh-jev-route    │ guide            │ local    │ local    │ enabled          │
│ omh-live-info    │ guide            │ local    │ local    │ enabled          │
│ omh-media-input  │ guide            │ local    │ local    │ enabled          │
│ omh-meta-router  │ guide            │ local    │ local    │ enabled          │
│ omh-model-setup  │ guide            │ local    │ local    │ enabled          │
│ omh-morning-bri… │ guide            │ local    │ local    │ enabled          │
│ omh-parallel-to… │ guide            │ local    │ local    │ enabled          │
│ omh-prompt-impo… │ guide            │ local    │ local    │ enabled          │
│ omh-routing      │ guide            │ local    │ local    │ enabled          │
│ omh-terminal     │ guide            │ local    │ local    │ enabled          │
